Shortest Distance to Surfaces Surfaces=Surfaces 1,Intensity Sum Ch=2 Img=2,Channel,Image,ID,Surpass Object,Surpass Object Data ID
-12.9,2.30e5,2,Image 2,109,All AuNP,200001
-25.7,3.30e5,2,Image 2,110,All AuNP,200001
-15.8,4.00e4,2,Image 2,111,All AuNP,200001
-14.4,4.22e4,2,Image 2,112,All AuNP,200001
-4.24,6.60e4,2,Image 2,113,All AuNP,200001
-3.29,4.54e4,2,Image 2,114,All AuNP,200001
-10.3,9.53e4,2,Image 2,115,All AuNP,200001
-6.05,1.20e5,2,Image 2,116,All AuNP,200001
-7.68,5.10e4,2,Image 2,117,All AuNP,200001
2.68,3.71e4,2,Image 2,118,All AuNP,200001
-9.48,7.02e4,2,Image 2,119,All AuNP,200001
-14,2.84e5,2,Image 2,120,All AuNP,200001
-36.5,2.66e5,2,Image 2,121,All AuNP,200001
-18.6,4.75e4,2,Image 2,122,All AuNP,200001
-11.3,5.45e4,2,Image 2,123,All AuNP,200001
-8.3,7.67e4,2,Image 2,124,All AuNP,200001
-12.8,5.62e5,2,Image 2,125,All AuNP,200001
-17.6,2.13e5,2,Image 2,126,All AuNP,200001
-5.21,2.47e5,2,Image 2,127,All AuNP,200001
-4.12,4.26e4,2,Image 2,128,All AuNP,200001
-17.7,8.19e4,2,Image 2,129,All AuNP,200001
-37.3,4.06e4,2,Image 2,130,All AuNP,200001
-10.8,5.53e4,2,Image 2,131,All AuNP,200001
-9.32,8.32e4,2,Image 2,132,All AuNP,200001
-12.6,9.04e4,2,Image 2,133,All AuNP,200001
-10.8,2.91e5,2,Image 2,134,All AuNP,200001
-0.356,3.19e5,2,Image 2,135,All AuNP,200001
-6.59,3.07e5,2,Image 2,136,All AuNP,200001
-0.457,9.26e4,2,Image 2,137,All AuNP,200001
47.3,1.18e5,2,Image 2,138,All AuNP,200001
-9.78,9.72e4,2,Image 2,139,All AuNP,200001
-10.3,1.48e5,2,Image 2,140,All AuNP,200001
-7.78,5.97e4,2,Image 2,141,All AuNP,200001
-9.7,8.62e4,2,Image 2,142,All AuNP,200001
-13.2,1.43e5,2,Image 2,143,All AuNP,200001
-15.9,1.38e5,2,Image 2,144,All AuNP,200001
-9.47,1.06e5,2,Image 2,145,All AuNP,200001
-15.4,1.72e5,2,Image 2,146,All AuNP,200001
-15.3,2.01e5,2,Image 2,147,All AuNP,200001
-14.2,1.07e5,2,Image 2,148,All AuNP,200001
84,1.11e5,2,Image 2,149,All AuNP,200001
-16.5,8.12e4,2,Image 2,150,All AuNP,200001
-13.7,8.91e4,2,Image 2,151,All AuNP,200001
-5.37,6.43e4,2,Image 2,152,All AuNP,200001
-8.69,2.30e5,2,Image 2,153,All AuNP,200001
-18.7,9.28e4,2,Image 2,154,All AuNP,200001
-26.3,6.31e4,2,Image 2,155,All AuNP,200001
-13.1,9.18e4,2,Image 2,156,All AuNP,200001
-14,5.82e4,2,Image 2,157,All AuNP,200001
-26.3,4.93e4,2,Image 2,158,All AuNP,200001
-14.5,5.98e4,2,Image 2,159,All AuNP,200001
-13.2,4.50e4,2,Image 2,160,All AuNP,200001
-13.9,3.42e4,2,Image 2,161,All AuNP,200001
-5.13,1.17e5,2,Image 2,162,All AuNP,200001
-9.46,6.31e4,2,Image 2,163,All AuNP,200001
-9.95,1.16e5,2,Image 2,164,All AuNP,200001
11.6,1.22e5,2,Image 2,165,All AuNP,200001
-8.47,2.19e5,2,Image 2,166,All AuNP,200001
-5.34,1.02e5,2,Image 2,167,All AuNP,200001
-18.6,6.80e4,2,Image 2,168,All AuNP,200001
-15.7,5.40e4,2,Image 2,169,All AuNP,200001
-17.8,9.20e4,2,Image 2,170,All AuNP,200001
-16.5,7.76e4,2,Image 2,171,All AuNP,200001
-21.5,1.01e5,2,Image 2,172,All AuNP,200001
-19.7,9.26e4,2,Image 2,173,All AuNP,200001
-35.1,4.88e5,2,Image 2,174,All AuNP,200001
-28.8,4.81e4,2,Image 2,175,All AuNP,200001
-21.3,1.24e5,2,Image 2,176,All AuNP,200001
-5.38,8.82e4,2,Image 2,177,All AuNP,200001
-6.78,9.68e4,2,Image 2,178,All AuNP,200001
-23.2,3.96e4,2,Image 2,179,All AuNP,200001
-14.1,7.93e4,2,Image 2,180,All AuNP,200001
-20.8,9.24e4,2,Image 2,181,All AuNP,200001
-14.6,5.52e4,2,Image 2,182,All AuNP,200001
-22.2,9.33e4,2,Image 2,183,All AuNP,200001
-16,9.77e4,2,Image 2,184,All AuNP,200001
7.1,3.93e4,2,Image 2,185,All AuNP,200001
-20.2,5.74e4,2,Image 2,186,All AuNP,200001
-16,3.36e5,2,Image 2,187,All AuNP,200001
-17.5,1.10e5,2,Image 2,188,All AuNP,200001
1.25,3.90e4,2,Image 2,189,All AuNP,200001
-1.4,6.46e4,2,Image 2,190,All AuNP,200001
49.5,1.82e5,2,Image 2,191,All AuNP,200001
49.9,3.31e4,2,Image 2,192,All AuNP,200001
-9.66,2.94e5,2,Image 2,193,All AuNP,200001
-16,2.16e5,2,Image 2,194,All AuNP,200001
53.1,3.63e4,2,Image 2,195,All AuNP,200001
43.6,4.83e4,2,Image 2,196,All AuNP,200001
-14.6,3.60e5,2,Image 2,197,All AuNP,200001
-12.6,8.70e4,2,Image 2,198,All AuNP,200001
-19.5,2.47e5,2,Image 2,199,All AuNP,200001
-19.2,2.58e5,2,Image 2,200,All AuNP,200001
-3.63,6.67e4,2,Image 2,201,All AuNP,200001
-11,6.31e4,2,Image 2,202,All AuNP,200001
-10.1,1.21e5,2,Image 2,203,All AuNP,200001
-14.9,1.09e5,2,Image 2,204,All AuNP,200001
-13.2,1.66e5,2,Image 2,205,All AuNP,200001
-22.7,3.52e5,2,Image 2,206,All AuNP,200001
-17.9,2.39e5,2,Image 2,207,All AuNP,200001
-4.19,4.61e4,2,Image 2,208,All AuNP,200001
-18.2,6.23e4,2,Image 2,209,All AuNP,200001
-16.7,1.55e5,2,Image 2,210,All AuNP,200001
-12,1.91e5,2,Image 2,211,All AuNP,200001
-20.4,1.79e5,2,Image 2,212,All AuNP,200001
-17.4,7.28e4,2,Image 2,213,All AuNP,200001
-17.9,8.16e4,2,Image 2,214,All AuNP,200001
-26.2,2.85e5,2,Image 2,215,All AuNP,200001
-6.41,4.56e4,2,Image 2,216,All AuNP,200001
-26.8,2.68e5,2,Image 2,217,All AuNP,200001
-30.2,2.45e5,2,Image 2,218,All AuNP,200001
-22.5,1.32e5,2,Image 2,219,All AuNP,200001
-13.4,1.41e5,2,Image 2,220,All AuNP,200001
-16.2,1.63e5,2,Image 2,221,All AuNP,200001
-15.8,7.89e4,2,Image 2,222,All AuNP,200001
-24.3,2.51e5,2,Image 2,223,All AuNP,200001
-21.9,1.15e5,2,Image 2,224,All AuNP,200001
-20.2,9.88e4,2,Image 2,225,All AuNP,200001
-35.5,4.29e5,2,Image 2,226,All AuNP,200001
-40,1.87e5,2,Image 2,227,All AuNP,200001
-35.2,2.14e5,2,Image 2,228,All AuNP,200001
-22.3,6.16e4,2,Image 2,229,All AuNP,200001
-12,1.24e5,2,Image 2,230,All AuNP,200001
-15.6,1.02e5,2,Image 2,231,All AuNP,200001
-19.2,8.29e4,2,Image 2,232,All AuNP,200001
-17.3,1.42e5,2,Image 2,233,All AuNP,200001
-24.8,1.55e5,2,Image 2,234,All AuNP,200001
-9.77,1.33e5,2,Image 2,235,All AuNP,200001
-13.1,2.80e5,2,Image 2,236,All AuNP,200001
-13.6,2.39e5,2,Image 2,237,All AuNP,200001
-12.9,1.80e5,2,Image 2,238,All AuNP,200001
-14.9,2.94e5,2,Image 2,239,All AuNP,200001
-9.04,1.68e5,2,Image 2,240,All AuNP,200001
-16.5,2.75e5,2,Image 2,241,All AuNP,200001
-17.8,2.85e5,2,Image 2,242,All AuNP,200001
-21,3.38e5,2,Image 2,243,All AuNP,200001
-15.6,2.20e5,2,Image 2,244,All AuNP,200001
-12.8,2.23e5,2,Image 2,245,All AuNP,200001
-11.5,1.94e5,2,Image 2,246,All AuNP,200001
-18,1.34e6,2,Image 2,247,All AuNP,200001
2.63,3.61e4,2,Image 2,248,All AuNP,200001
-12.6,1.08e5,2,Image 2,249,All AuNP,200001
-13.1,1.06e5,2,Image 2,250,All AuNP,200001
-10.6,7.73e4,2,Image 2,251,All AuNP,200001
-9.9,1.27e5,2,Image 2,252,All AuNP,200001
-11.7,5.08e4,2,Image 2,253,All AuNP,200001
-21.4,8.39e5,2,Image 2,254,All AuNP,200001
-14.9,7.01e5,2,Image 2,255,All AuNP,200001
-12.3,3.90e5,2,Image 2,256,All AuNP,200001
-17.9,9.81e4,2,Image 2,257,All AuNP,200001
-5.26,1.81e5,2,Image 2,258,All AuNP,200001
-18.6,1.09e5,2,Image 2,259,All AuNP,200001
5.66,7.46e4,2,Image 2,260,All AuNP,200001
16.9,2.85e5,2,Image 2,261,All AuNP,200001
-18.5,2.10e5,2,Image 2,262,All AuNP,200001
7.49,1.32e5,2,Image 2,263,All AuNP,200001
-18.9,2.90e5,2,Image 2,264,All AuNP,200001
-12.9,7.35e4,2,Image 2,265,All AuNP,200001
-0.96,1.23e5,2,Image 2,266,All AuNP,200001
2.97,1.12e5,2,Image 2,267,All AuNP,200001
-5.38,1.89e5,2,Image 2,268,All AuNP,200001
-0.0758,1.21e5,2,Image 2,269,All AuNP,200001
-11.1,1.64e5,2,Image 2,270,All AuNP,200001
-3.59,1.81e5,2,Image 2,271,All AuNP,200001
18.7,2.47e5,2,Image 2,272,All AuNP,200001
11,1.72e5,2,Image 2,273,All AuNP,200001
14.1,3.63e5,2,Image 2,274,All AuNP,200001
-13.3,1.18e5,2,Image 2,275,All AuNP,200001
18,1.61e5,2,Image 2,276,All AuNP,200001
23.3,1.97e5,2,Image 2,277,All AuNP,200001
26.6,1.51e5,2,Image 2,278,All AuNP,200001
-20.4,1.69e5,2,Image 2,279,All AuNP,200001
20,1.20e5,2,Image 2,280,All AuNP,200001
25,2.55e5,2,Image 2,281,All AuNP,200001
-7.11,9.97e5,2,Image 2,282,All AuNP,200001
-19.2,1.67e5,2,Image 2,283,All AuNP,200001
-21.8,2.00e5,2,Image 2,284,All AuNP,200001
-21.9,1.83e5,2,Image 2,285,All AuNP,200001
-16.5,4.99e4,2,Image 2,286,All AuNP,200001
-11.9,6.68e4,2,Image 2,287,All AuNP,200001
17.3,3.81e5,2,Image 2,288,All AuNP,200001
-30.8,2.90e5,2,Image 2,289,All AuNP,200001
-18.2,1.06e5,2,Image 2,290,All AuNP,200001
-16.1,1.10e5,2,Image 2,291,All AuNP,200001
-16.9,1.14e5,2,Image 2,292,All AuNP,200001
-13.4,2.32e5,2,Image 2,293,All AuNP,200001
-24.8,2.46e5,2,Image 2,294,All AuNP,200001
1.35,2.18e5,2,Image 2,295,All AuNP,200001
-41.3,1.78e5,2,Image 2,296,All AuNP,200001
14.2,1.05e5,2,Image 2,297,All AuNP,200001
22.4,1.60e5,2,Image 2,298,All AuNP,200001
22.3,1.98e5,2,Image 2,299,All AuNP,200001
-33.8,1.92e5,2,Image 2,300,All AuNP,200001
-31.4,2.55e5,2,Image 2,301,All AuNP,200001
-16.9,1.66e5,2,Image 2,302,All AuNP,200001
-26.4,3.97e5,2,Image 2,303,All AuNP,200001
-20.4,2.92e5,2,Image 2,304,All AuNP,200001
15.8,1.83e5,2,Image 2,305,All AuNP,200001
19.7,3.48e5,2,Image 2,306,All AuNP,200001
32.1,7.82e4,2,Image 2,307,All AuNP,200001
29.8,3.33e5,2,Image 2,308,All AuNP,200001
46.5,1.07e5,2,Image 2,309,All AuNP,200001
-13,1.67e5,2,Image 2,310,All AuNP,200001
-0.819,3.60e5,2,Image 2,311,All AuNP,200001
-11.1,1.75e5,2,Image 2,312,All AuNP,200001
6.9,2.71e5,2,Image 2,313,All AuNP,200001
54.2,3.08e4,2,Image 2,314,All AuNP,200001
129,5.44e4,2,Image 2,315,All AuNP,200001
119,4.34e4,2,Image 2,316,All AuNP,200001
40.2,4.33e4,2,Image 2,317,All AuNP,200001
122,3.57e4,2,Image 2,318,All AuNP,200001
117,3.87e4,2,Image 2,319,All AuNP,200001
129,7.82e5,2,Image 2,320,All AuNP,200001
